name,position
EVIGO,N674103 E0122437
EVLED,N622252 E0073523
EVMIV,N680709 E0150435
EVMUV,N704455 E0320500
EVNAN,N613411 E0065100
EVNEN,N630000 E0113827
EVNOK,N705651 E0225130
EVNUT,N584431 E0024602
EVODU,N684620 E0161309
EVONO,N661215 E0132408
EVROL,N663539 E0142411
EVRUS,N642746 E0112303
EVTIP,N671136 E0133114
EVTOG,N604900 E0095611
EXFUL,N645411 E0131258
EXITA,N760000 E0000000
EXLOF,N600414 E0110659
EXOSO,N614840 E0093337
EXTUN,N710216 E0285025
FAKSO,N610818 E0020839
FALLE,N593409 E0084156
FLARE,N584822 E0060557
FOGGO,N592349 E0092952
FUZFA,N705245 E0280339
GAKLO,N595119 E0102516
GAKNU,N615211 E0051435
GALTU,N641300 E0092716
GAMKI,N700830 E0305938
GANSO,N602422 E0050028
GANTI,N662059 E0143713
GAPRO,N691021 E0214746
GAVGA,N602208 E0081145
GEDLU,N594839 E0053531
GEGNU,N685751 E0164018
GEGRU,N610102 E0011611
GEMVA,N622241 E0014344
GEMVO,N645615 E0111956
GENVU,N593736 E0045551
GEPLO,N642248 E0102459
GEPTU,N674739 E0152116
GIBMO,N692307 E0180235
GIGIR,N621238 E0072243
GIGNI,N620000 E0112907
GIGOV,N691323 E0210129
GIGUG,N691303 E0152722
GIKAV,N640203 E0134737
GIKOR,N634745 E0044804
GILAV,N712600 E0281726
GILEN,N680139 E0170604
GILGU,N692938 E0173023
GILKO,N661639 E0133556
GILOL,N583157 E0052700
GIMBU,N621552 E0105124
GIMEX,N601729 E0101420
GIMUM,N692501 E0164719
GINAX,N602249 E0042145
GINEK,N701356 E0212102
GINGO,N611837 E0064255
GIPKO,N585039 E0051533
GIPOD,N642310 E0052537
GIRUX,N683337 E0144118
GISOX,N670219 E0090333
GITRO,N601123 E0051510
GIVON,N620809 E0105613
GODAG,N655735 E0120343
GOGAL,N632050 E0100611
GOGNO,N663029 E0074743
GOGOD,N680644 E0154255
GOGOX,N632259 E0094331
GOGPI,N683500 E0153700
GOKAB,N602600 E0062624
GOKKI,N702746 E0223728
GOLOL,N783140 E0145528
GOLUL,N652744 E0115602
GOMAV,N683958 E0231854
GONID,N672723 E0123637
GOPEN,N664319 E0080812
GOSLI,N613637 E0043926
GUBAV,N654624 E0135641
GUBNO,N664608 E0083624
GUBSU,N604617 E0105653
GUDIP,N693633 E0171603
GUNPA,N610000 E0000000
HOCCA,N655737 E0122810
IBADU,N691125 E0194855
IBAGI,N622252 E0093929
IBAPI,N583027 E0025112
IBEKI,N683512 E0140616
IBETU,N701146 E0193836
IBGIV,N693456 E0202055
IBGUP,N562416 E0025108
IBLAD,N620033 E0063303
IBLOR,N603552 E0101955
IBNAL,N684245 E0140812
IBNEX,N632259 E0095751
IBNUR,N600716 E0112940
IBRIM,N703247 E0251751
IBSAT,N591623 E0111006
IBSEK,N692122 E0162931
IBSOL,N604931 E0112305
IBVAS,N611224 E0014950
IBVAX,N623933 E0082913
IBVIS,N675506 E0144117
ICOMA,N690935 E0174322
IDELA,N684517 E0154440
IDGOM,N602540 E0074240
IDIPI,N585736 E0065413
IDLAG,N673900 E0094439
IDLIN,N694904 E0200000
IDMET,N702945 E0223733
IFTID,N663323 E0114843
IGOWO,N564716 E0032908
IKEZE,N634930 E0092531
ILFUR,N611303 E0092029
ILUZO,N612801 E0024529
ILZIN,N610524 E0121932
ILZUM,N710750 E0254253
IMHAL,N705705 E0242005
INBUN,N583809 E0044800
INDOP,N583312 E0074850
INGAG,N684054 E0155111
INGUP,N604302 E0112332
INKAD,N602757 E0043822
INKEV,N631454 E0081940
INLAM,N700200 E0205157
INPAR,N780340 E0133601
INPEG,N594717 E0102357
INPET,N584248 E0013320
INREX,N610050 E0121300
INSAP,N581935 E0082629
INSEP,N733000 E0150000
INSUV,N595532 E0110650
INTIN,N611322 E0101613
INTUM,N605814 E0055057
INUSE,N695516 E0193017
INVAG,N580340 E0014924
INVAL,N682159 E0145523
IPKEM,N640546 E0044615
IPLIL,N700408 E0311428
IPLUS,N645108 E0130510
IPMOD,N594422 E0081747
IPNIK,N621758 E0055106
IPNUS,N575908 E0075918
IPROL,N632847 E0085532
IPTIP,N700213 E0283351
IPTIR,N594116 E0105113
IPTOK,N610115 E0031445
IPTON,N620000 E0000000
IRDOS,N683706 E0153158
IRKEL,N670500 E0133549
ISVIG,N630000 E0000000
IVDAL,N694737 E0200000
IVNOL,N603910 E0103800
IXUMA,N604908 E0115923
KAIPO,N601922 E0100444
KARLI,N570000 E0053026
KEGAX,N692911 E0171554
KEKEL,N643407 E0131359
KEKOD,N613916 E0073441
KEKUP,N604813 E0085142
KEMIV,N615357 E0082554
KIIKA,N694500 E0205850
KIROW,N694325 E0295208
KLONN,N582324 E0024944
KODOM,N652701 E0114145
KODUX,N585533 E0044000
KOKUK,N653641 E0120855
KOMEL,N773000 E0350000
KOMIG,N701854 E0233436
KOMUX,N703324 E0183242
KOPES,N711027 E0280608
KOPIN,N700648 E0181635
KOSIG,N591022 E0053304
KOSOB,N614704 E0071219
KOSUN,N642608 E0111631
KOTAK,N580112 E0092949
KOTIV,N630628 E0040620
KOTUT,N621918 E0110657
KOVIK,N573334 E0083426
KOXEM,N655735 E0065437
KOXEN,N670124 E0123800
KOXOL,N630802 E0072356
KUBEP,N625225 E0084020
KUBIM,N615638 E0091724
KUBUB,N593230 E0104150
KUBUG,N652925 E0132603
KUBUX,N622151 E0051726
KUKIX,N704336 E0282332
KUNEM,N584727 E0042101
KUNUB,N692015 E0210029
KUPAX,N620714 E0072615
KUSEX,N595055 E0045441
KUSIV,N630205 E0065748
KUXUS,N700615 E0144615
LAKAG,N693442 E0200000
LAKIM,N651500 E0125027
LAKOK,N711200 E0284922
LALAB,N700859 E0265559
LALAD,N781421 E0140500
LAMLU,N694701 E0155042
LANTI,N572901 E0071338
LAPOT,N583758 E0042626
LAPVI,N702506 E0242256
LARIL,N715921 E0300000
LARNU,N720652 E0295918
LARWU,N605403 E0021848
LATEN,N723000 E0320500
LAVNA,N684852 E0174243
LEBDO,N673835 E0141056
LEBSA,N635154 E0112122
LEGLU,N681327 E0160230
LEKNO,N675401 E0133559
LELSA,N693429 E0133542
LEMGI,N602120 E0084330
LENSA,N694358 E0200000
LEPTI,N633318 E0043311
LERVI,N642049 E0102652
LESDU,N643939 E0103839
LESGO,N565950 E0034300
LETPA,N620000 E0100725
LEVLO,N701511 E0153909
LIDNA,N661952 E0152739
LIDSO,N655628 E0121032
LIKRO,N620428 E0090541
LILBA,N604935 E0114445
LILMU,N623355 E0093827
LINLI,N643444 E0124011
LINVI,N570000 E0071338
LIPSA,N691850 E0132616
LITPI,N701018 E0210527
LIVGI,N574900 E0064000
LIVMA,N642410 E0120923
LODNU,N630916 E0092834
LOGBU,N622729 E0100029
LOLAW,N670855 E0130000
LOLKI,N615409 E0075158
LOMKA,N662945 E0123244
LOMVI,N700500 E0190008
LOPNI,N625754 E0082450
LOSSE,N675829 E0144300
LOTWA,N695839 E0232218
LUGUB,N604330 E0110519
LUKUL,N594936 E0110013
LULAX,N690854 E0172344
LULEB,N711020 E0260555
LULIL,N603048 E0113729
LULIV,N674559 E0115256
LULUB,N630800 E0014349
LUMEM,N580756 E0082256
LUMOP,N674520 E0125000
LUMUX,N624116 E0065422
LUNEV,N771000 E0141826
LUNIP,N591100 E0111855
LUNUR,N605023 E0060506
LUNUX,N704649 E0295216
LURAP,N690525 E0181602
LURUX,N665537 E0132618
LUSAS,N662552 E0123023
LUTOT,N584249 E0092737
LUTUR,N633100 E0084200
LUVED,N693353 E0223242
LUVIS,N641941 E0050224
LUXAM,N661855 E0123714
LUXOG,N581842 E0034911
MAGIR,N712000 E0262034
MALIG,N665236 E0130620
MALOV,N632726 E0104038
MAMAV,N602928 E0024928
MAMIP,N605215 E0074537
MANEK,N661819 E0125723
MANKI,N685700 E0194520
MARAP,N600825 E0044534
MASEV,N601040 E0123205
MATUV,N570637 E0025040
MATZE,N592656 E0093730
MEBOD,N602505 E0051033
MEDAT,N610713 E0105348
MIDWO,N600553 E0105716
MIGVA,N642238 E0134607
MIKDA,N643813 E0105928
MIKMU,N681134 E0145231
MIMKI,N665609 E0160525
MIRMO,N592445 E0102651
MISBA,N673425 E0145603
MITSI,N570000 E0062720
MIVLI,N695239 E0255719
MIVSO,N630518 E0082303
MOBDU,N683523 E0153140
MODNI,N600210 E0035851
MOGLU,N590730 E0114609
MOKAV,N643620 E0115857
MOKAX,N690429 E0195529
MOKVU,N591013 E0100359
MOLOX,N610154 E0023726
MOMIK,N623012 E0054132
MONUT,N615144 E0043954
MOREB,N670227 E0141321
MORIG,N632135 E0042122
MOVAB,N701237 E0184240
NALAL,N675910 E0152802
NALUP,N641755 E0100933
NAMAP,N704320 E0300304
NAMIG,N641226 E0130102
NAMOX,N641109 E0111915
NAPIT,N634510 E0091006
NAPUR,N604141 E0032044
NARNA,N621229 E0050043
NASET,N603151 E0015718
NATED,N695327 E0220435
NATET,N615220 E0104913
NAVGA,N701004 E0240633
NAXAP,N694230 E0165418
NAXEN,N780840 E0170238
NEBAV,N610358 E0015917
NEBRE,N633146 E0102303
NEBUR,N653327 E0143030
NEBVE,N700427 E0245846
NECUD,N610034 E0024322
NEDZA,N591008 E0101533
NEGVA,N690920 E0144854
NEKOM,N685536 E0143805
NEKVU,N624419 E0072343
NELAT,N660743 E0124233
NELSU,N630632 E0093751
NELUK,N602802 E0063751
NEMDA,N641100 E0111000
NEMET,N633521 E0083112
NEMKO,N622557 E0111605
NENED,N695005 E0290011
NEPEX,N683134 E0134011
NEPKI,N702125 E0161942
NERAM,N674000 E0135500
NERDO,N575316 E0091341
NERLO,N622045 E0054139
NEROD,N700053 E0210608
NERTA,N703414 E0255520
NESAS,N782326 E0141615
NETIX,N692015 E0174721
NEVID,N682331 E0134141
NEVIG,N690637 E0145905
NEXUR,N620518 E0100108
NIBAB,N584551 E0044408
NIDGI,N610340 E0044834
NIGEX,N642328 E0115958
NIKGE,N660623 E0124946
NIMAX,N654500 E0120000
NIMKU,N642238 E0121032
NIMVO,N620000 E0093900
NINUL,N675346 E0100507
NIPTU,N604736 E0105254
NIRAZ,N564013 E0033149
NIROD,N580442 E0093700
NIRUT,N760000 E0350000
NISLU,N625845 E0092231
NISUS,N653824 E0111122
NITNU,N711052 E0273519
NIVOP,N600327 E0044811
NIVUN,N573411 E0040812
NOBSI,N630939 E0082825
NOGBO,N642745 E0140650
NOMGA,N634301 E0044307
NONVU,N633133 E0105324
NOREM,N570000 E0054612
NORSO,N570000 E0051030
NORTU,N652843 E0141758
NORVA,N680549 E0105740
NOSVA,N660137 E0080511
NUBRU,N612402 E0074542
NUDNI,N651911 E0132700
NULNO,N593344 E0080944
NUMLU,N624726 E0073935
NUMSI,N671931 E0134933
NUPGO,N640752 E0114058
NURMU,N692103 E0185220
NUVSA,N610430 E0112855
OBAMU,N643007 E0114950
OBAPA,N683150 E0165423
OBEMU,N690920 E0201447
OBITI,N620019 E0071950
OBOGO,N631257 E0094829
OBULU,N601204 E0092256
OBUPA,N592614 E0025624
OBURU,N702325 E0212708
ODEVI,N654704 E0120800
ODINU,N594057 E0063632
ODLEK,N602241 E0051122
ODMAL,N704446 E0215104
ODNOS,N661724 E0134607
ODPAR,N690242 E0180052
ODRID,N574900 E0071500
ODURU,N654038 E0135846
ODVIG,N694759 E0244833
OGDIT,N615014 E0063723
OGETU,N615218 E0084219
OGIVO,N750000 E0300000
OGLIX,N615429 E0074150
OGMUR,N624932 E0075839
OGNEK,N602302 E0062435
OGNEL,N671422 E0114411
OGPAL,N611243 E0101113
OGPAR,N672520 E0094327
OGROV,N632725 E0100352
OGSAR,N615710 E0075122
OGTAB,N592239 E0102726
OGVIS,N621140 E0094649
OKBUN,N614034 E0101207
OKDIT,N781941 E0135454
OKDOC,N662233 E0133321
OKEXA,N620000 E0091900
OKSAB,N641145 E0094710
OLADU,N703951 E0301349
OLBOS,N600158 E0054720
OLBOV,N645111 E0105637
OLCUS,N591700 E0090000
OLDAS,N610413 E0051016
OLDEW,N711008 E0244147
OLDUG,N601845 E0045727
OLGUV,N622603 E0121053
OLISO,N641610 E0122910
OLOLI,N710658 E0225631
OLOLU,N612027 E0074430
OLPON,N575448 E0071756
OMABI,N620000 E0061350
OMEXA,N690110 E0124824
OMIDU,N652037 E0113500
ORTEN,N700000 E0150000
ORVAK,N701854 E0225943
ORVIK,N593817 E0004008
OSBEB,N704019 E0305429
OSBEX,N603627 E0024627
OSDOD,N654159 E0073903
OSGEP,N593207 E0102513
OSGUR,N601656 E0113250
OSGUS,N600517 E0051420
OSKAK,N670408 E0070550
OSKIB,N705500 E0233000
OSKOK,N621910 E0121543
OSKOM,N590925 E0073000
OSKUB,N682725 E0173902
OSKUS,N631215 E0085903
OSLAT,N694000 E0224444
OSMEL,N661223 E0121742
OSMIS,N592120 E0100900
OSMUM,N625024 E0100422
OSNAV,N704600 E0274737
OSTUP,N645140 E0111135
OSVAL,N582827 E0090308
OSVIG,N610428 E0092356
OTBAN,N702002 E0203406
OTNOP,N611757 E0030121
OTRAX,N602819 E0042300
OTSOS,N602144 E0070705
OTVIK,N771600 E0180236
OTVIV,N591607 E0100525
OVBIG,N672320 E0144353
OVBOS,N624339 E0100939
PABVU,N612848 E0071409
PATTO,N654947 E0120612
PAXLO,N695406 E0200000
PEMEP,N700101 E0235959
PEMOV,N613727 E0045344
PENAX,N663810 E0154034
PENIP,N625951 E0081036
PENNO,N675611 E0160610
PENUN,N570635 E0045010
PEPEM,N631306 E0091637
PEPEX,N695126 E0223313
PEPIN,N595931 E0000054
PEPIV,N704039 E0182438
PESAV,N682941 E0163742
PESIX,N685424 E0200802
PESOS,N684400 E0163808
PESUR,N601435 E0063507
PETUV,N624204 E0063842
PEVEB,N582949 E0064827
PEVIG,N684331 E0140819
PEVRE,N703242 E0281808
PEVUR,N712750 E0245422
PEXOL,N684039 E0195004
PIBIM,N625749 E0033905
PIDUN,N682613 E0171231
PIGAV,N585912 E0073000
PIGAX,N691925 E0194437
PIGED,N615720 E0083902
PIGIT,N635046 E0072550
PIKOX,N681924 E0152736
PILEM,N621919 E0054714
PIPEX,N585050 E0090232
PIPOT,N702336 E0222533
PIPUL,N712000 E0265148
PIREL,N800000 E0350000
PIRIV,N650531 E0055220
PISEL,N675330 E0103432
PISUX,N665404 E0134838
PITOL,N762000 E0145302
PIVAD,N594116 E0045938
PIVAT,N604900 E0110400
PIVIV,N683851 E0170507
PIVUP,N630413 E0102013
PIXEG,N572959 E0045748
POBEL,N682952 E0190555
POBIX,N671912 E0110456
POFMA,N625336 E0060203
POKAX,N630721 E0025334
POTRA,N584300 E0014000
PUMJI,N611338 E0121939
PUMNU,N661157 E0124446
RADNO,N700427 E0245846
RAMUD,N570325 E0073626
RANUM,N665252 E0140725
RAPIR,N593948 E0015606
RARAG,N780044 E0163839
RARIV,N585806 E0094445
RARLE,N661221 E0123937
RASTO,N611558 E0024710
RASVI,N571722 E0080258
RATUL,N695706 E0220011
RAVDA,N703407 E0174702
RAVUB,N582803 E0035330
REBLI,N692635 E0182811
REDPI,N652448 E0121758
REDRI,N704831 E0190301
REGMA,N590632 E0112058
REKLI,N602728 E0035508
REPGA,N691934 E0202128
REPKU,N584821 E0103629
RERPU,N613206 E0100651
RETKA,N575929 E0092619
REVBU,N661055 E0123832
REVSO,N704947 E0243639
REVTA,N595157 E0062137
RIBBE,N612228 E0112858
RIDBO,N592151 E0073000
RIGLA,N600634 E0054054
RIGMO,N703056 E0232312
RIGVU,N584735 E0020917
RILUN,N665612 E0131335
RIMER,N684424 E0161943
RIPAM,N591940 E0094500
RIPED,N701712 E0211003
RIVEX,N582453 E0063138
RIXEM,N684728 E0201929
ROBIX,N601021 E0050345
ROBRO,N650357 E0113500
ROBUM,N692557 E0155440
ROGED,N603045 E0123623
ROGPI,N613442 E0094851
ROLIB,N700243 E0295046
ROLIT,N640653 E0074712
ROLOS,N660719 E0120337
ROPBE,N654538 E0122816
ROPNO,N591947 E0065040
RORIK,N650542 E0113500
ROSAP,N674437 E0125948
ROSBO,N650953 E0061813
ROSBU,N643802 E0123343
ROSKO,N692212 E0181544
ROSVI,N673122 E0152736
ROTOT,N671308 E0134640
ROVAN,N694750 E0283151
ROVEM,N634026 E0093612
ROVPA,N604401 E0122343
ROXAX,N653021 E0114801
RUBUS,N710054 E0300000
RUBVA,N611005 E0042620
RUDOK,N581117 E0022816
RUFLO,N704256 E0254647
RUKEN,N674530 E0142326
RULAP,N655954 E0123025
RUMOG,N581236 E0053133
RUNAD,N622506 E0054002
RUSIG,N703443 E0245857
RUSOX,N591853 E0103632
RUSST,N690937 E0192504
RUSUT,N642525 E0094923
RUTOD,N690614 E0161056
SEGKA,N654311 E0121212
SELCO,N604631 E0092149
SIRMO,N684445 E0175629
SISGI,N683631 E0155740
SIVNU,N693428 E0291416
SIXMU,N562041 E0033911
SOBDU,N604627 E0071626
SOLKA,N631951 E0120309
SOMIT,N671457 E0131810
SOMUB,N632057 E0114818
SORAV,N631725 E0094932
SOSUK,N612702 E0020835
SOTEK,N573315 E0065911
SOTOP,N695944 E0212018
SOVEG,N600052 E0095147
SOXIL,N701403 E0280412
SOXOX,N700023 E0200000
SOXUN,N654644 E0140209
SOZED,N691457 E0171007
STETI,N681047 E0162250
SUGAR,N581854 E0013525
SUGAV,N694133 E0200000
SUKAM,N634757 E0091236
SULOB,N694442 E0142413
SUMAK,N603734 E0043218
SUMIK,N655333 E0134651
SUNOS,N601106 E0052809
SUPEB,N624203 E0095540
SURIL,N630656 E0075752
SUSES,N774916 E0150700
SUSIN,N700455 E0210853
SUTID,N701019 E0233635
SUVAR,N610905 E0124309
SUVIM,N623127 E0060503
TABEV,N660223 E0072628
TAGUD,N601500 E0042000
TAKIS,N603643 E0042455
TEDVU,N644321 E0054758
TEGTU,N662738 E0120515
TEKVO,N570000 E0072024
TEMBA,N701515 E0260000
TENDI,N625046 E0062713
TESLU,N612658 E0093117
TETNI,N705502 E0211515
TEVKU,N710843 E0303033
TEVMI,N661313 E0115035
TEVRA,N630218 E0090250
TIBNO,N595440 E0081745
TIBTI,N685535 E0165046
TIDCO,N684800 E0151128
TIDRA,N633023 E0095510
TIGBA,N625614 E0120731
TILRA,N582159 E0015425
TILTE,N594440 E0085132
TIMIX,N610752 E0062403
TINIG,N600037 E0062101
TINIV,N661346 E0142329
TINKO,N615531 E0063833
TINOS,N694730 E0261340
TIPAR,N620737 E0083151
TIPEK,N570319 E0032331
TIPEL,N671543 E0161948
TIPSO,N585655 E0081841
TISES,N691148 E0182735
TISKI,N690642 E0164108
TITOT,N681644 E0170858
TITUX,N590230 E0090000
TIVEP,N610809 E0113551
TIVUL,N685250 E0164204
TIXIB,N675437 E0143335
TIXIS,N603233 E0112821
